Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
レスポンスを5分間キャッシュしてください。,Cache the response for 5 minutes.,キャッシュ,レスポンスを5分間【ふんかん】キャッシュしてください。,レスポンスを5分間【ふんかん】キャッシュしてください。,Performance - Caching,polite,cache,"<ruby class=""vocab"">キャッシュ<rt><span class=""pitch-h"">きゃ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">しゅ</span></rt></ruby>",
高いキャッシュヒット率は良いことです。,High cache hit rate is good.,キャッシュヒット,高【たか】いキャッシュヒット率【りつ】は良【よ】いことです。,高【たか】いキャッシュヒット率【りつ】は良【よ】いことです。,Performance - Caching,polite,cache,"<span class=""vocab"">キャッシュヒット</span>",
キャッシュミス時はDBからフェッチしてください。,On cache miss fetch from DB.,キャッシュミス,キャッシュミス時【とき】はDBからフェッチしてください。,キャッシュミス時【とき】はDBからフェッチしてください。,Performance - Caching,polite,cache,"<span class=""vocab"">キャッシュミス</span>",
更新時にキャッシュを無効化してください。,Invalidate the cache on update.,無効化,更新【こうしん】時【とき】にキャッシュを無効化【むこうか】してください。,更新【こうしん】時【とき】にキャッシュを無効化【むこうか】してください。,Performance - Caching,polite,disable,"<ruby class=""vocab"">無効化<rt>むこうか</rt></ruby>",
TTLを1時間に設定してください。,Set TTL to 1 hour.,TTL,TTLを1時間【じかん】に設定【せってい】してください。,TTLを1時間【じかん】に設定【せってい】してください。,Performance - Caching,polite,TTL,"<span class=""vocab"">TTL</span>",
キャッシュされたデータの有効期限が切れました。,The cached data expired.,有効期限,キャッシュされたデータの有効【ゆうこう】期限【きげん】が切【き】れました。,キャッシュされたデータの有効【ゆうこう】期限【きげん】が切【き】れました。,Performance - Caching,polite,expiration,"<ruby class=""vocab"">有効期限<rt>ゆうこうきげん</rt></ruby>",
キャッシュから古いエントリを削除してください。,Evict old entries from cache.,削除,キャッシュから古【ふる】いエントリを削除【さくじょ】してください。,キャッシュから古【ふる】いエントリを削除【さくじょ】してください。,Performance - Caching,polite,delete,"<ruby class=""vocab"">削除<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">じょ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 削除 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>削除する</td></tr><tr><td>Polite ます形</td><td>削除します</td></tr><tr><td>Polite Negative ません形</td><td>削除しません</td></tr><tr><td>Te-form て形</td><td>削除して</td></tr><tr><td>Polite Past ました形</td><td>削除しました</td></tr><tr><td>Progressive ている形</td><td>削除しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>削除できる</td></tr><tr><td>Passive 受身形</td><td>削除される</td></tr><tr><td>Conditional たら形</td><td>削除したら</td></tr><tr><td>Volitional 意向形</td><td>削除しよう</td></tr><tr><td>Should べき形</td><td>削除すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>削除なさる</td></tr><tr><td>Humble 謙譲語</td><td>削除いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
キャッシュにはRedisを使ってください。,Use Redis for caching.,Redis,キャッシュにはRedisを使【つか】ってください。,キャッシュにはRedisを使【つか】ってください。,Database - Redis,polite,Redis,"<span class=""vocab"">Redis</span>",
MemcachedはRedisよりシンプルです。,Memcached is simpler than Redis.,Memcached,MemcachedはRedisよりシンプルです。,MemcachedはRedisよりシンプルです。,Database - Memcached,polite,Memcached,"<span class=""vocab"">Memcached</span>",
静的ファイルはCDNから配信してください。,Serve static files from CDN.,CDN,静的【せいてき】ファイルはCDNから配信【はいしん】してください。,静的【せいてき】ファイルはCDNから配信【はいしん】してください。,Infrastructure - Cdn,polite,CDN,"<span class=""vocab"">CDN</span>",
