Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
確認する項目が多すぎます。,There are too many items to check.,項目,確認【かくにん】する項目【こうもく】が多【おお】すぎます。,Work - Docs,polite,item,"<ruby class=""vocab"">項目<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">も</span><span class=""pitch-h"">く</span></rt></ruby>"
実装はまだ半分です。,The implementation is only half done.,実装,実装【じっそう】はまだ半分【はんぶん】です。,Work - Process,polite,implementation,"<ruby class=""vocab"">実装<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">そ</span><span class=""pitch-h"">う</span></rt></ruby>"
有料のプランに切り替えました。,We switched to a paid plan.,有料,有料【ゆうりょう】のプランに切【き】り替【か】えました。,Work - Money,polite,paid,"<ruby class=""vocab"">有料<rt><span class=""pitch-l"">ゆ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">りょ</span><span class=""pitch-h"">う</span></rt></ruby>"
社内だけで使う予定です。,It's only going to be used internally.,社内,社内【しゃない】だけで使【つか】う予定【よてい】です。,Work - Scope,polite,internal to the company,"<ruby class=""vocab"">社内<rt><span class=""pitch-h"">しゃ</span><span class=""pitch-l"">な</span><span class=""pitch-l"">い</span></rt></ruby>"
自分でも再現できました。,I could reproduce it myself too.,自分,自分【じぶん】でも再現【さいげん】できました。,Work - People,polite,oneself,"<ruby class=""vocab"">自分<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">ぶ</span><span class=""pitch-h"">ん</span></rt></ruby>"
詳しくは以下のとおりです。,The details are as follows.,以下,詳【くわ】しくは以下【いか】のとおりです。,Work - Docs,polite,the following,"<ruby class=""vocab"">以下<rt><span class=""pitch-h"">い</span><span class=""pitch-l"">か</span></rt></ruby>"
承認が出たら進めます。,I'll go ahead once approval comes through.,承認,承認【しょうにん】が出【で】たら進【すす】めます。,Work - Access,polite,approval,"<ruby class=""vocab"">承認<rt><span class=""pitch-l"">しょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">に</span><span class=""pitch-h"">ん</span></rt></ruby>"
そのときの会話を残しておきます。,I'll keep a record of that conversation.,会話,そのときの会話【かいわ】を残【のこ】しておきます。,Work - Comms,polite,conversation,"<ruby class=""vocab"">会話<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">い</span><span class=""pitch-h"">わ</span></rt></ruby>"
今は止まっている状態です。,Right now it's in a stopped state.,状態,今【いま】は止【と】まっている状態【じょうたい】です。,Work - System,polite,state,"<ruby class=""vocab"">状態<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">た</span><span class=""pitch-h"">い</span></rt></ruby>"
日付の記載が抜けています。,The date is missing from the text.,記載,日付【ひづけ】の記載【きさい】が抜【ぬ】けています。,Work - Docs,polite,written entry,"<ruby class=""vocab"">記載<rt><span class=""pitch-l"">き</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">い</span></rt></ruby>"
回数に制限があります。,There's a limit on the number of times.,制限,回数【かいすう】に制限【せいげん】があります。,Work - Access,polite,limit,"<ruby class=""vocab"">制限<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span></rt></ruby>"
今月は目標が未達です。,We're short of this month's target.,未達,今月【こんげつ】は目標【もくひょう】が未達【みたつ】です。,Work - Problem,polite,falling short,"<ruby class=""vocab"">未達<rt><span class=""pitch-l"">み</span><span class=""pitch-h"">た</span><span class=""pitch-h"">つ</span></rt></ruby>"
自動で判定しています。,It's judged automatically.,判定,自動【じどう】で判定【はんてい】しています。,Work - Quality,polite,determination,"<ruby class=""vocab"">判定<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">て</span><span class=""pitch-h"">い</span></rt></ruby>"
同時に走らないように制御します。,I'll control it so they don't run at once.,制御,同時【どうじ】に走【はし】らないように制御【せいぎょ】します。,Work - System,polite,control,"<ruby class=""vocab"">制御<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぎょ</span></rt></ruby>"
資料はあとで送ります。,I'll send the materials later.,資料,資料【しりょう】はあとで送【おく】ります。,Work - Docs,polite,materials,"<ruby class=""vocab"">資料<rt><span class=""pitch-h"">し</span><span class=""pitch-l"">りょ</span><span class=""pitch-l"">う</span></rt></ruby>"
毎月の集計を見直します。,I'll revisit the monthly totals.,集計,毎月【まいつき】の集計【しゅうけい】を見直【みなお】します。,Work - Data,polite,tallying,"<ruby class=""vocab"">集計<rt><span class=""pitch-l"">しゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">け</span><span class=""pitch-h"">い</span></rt></ruby>"
事前に共有しておきます。,I'll share it in advance.,事前,事前【じぜん】に共有【きょうゆう】しておきます。,Work - Process,polite,in advance,"<ruby class=""vocab"">事前<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">ぜ</span><span class=""pitch-h"">ん</span></rt></ruby>"
文章を生成する部分を直しました。,I fixed the part that generates the text.,生成,文章【ぶんしょう】を生成【せいせい】する部分【ぶぶん】を直【なお】しました。,Work - System,polite,generation,"<ruby class=""vocab"">生成<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
一つ提案があります。,I have one suggestion.,提案,一【ひと】つ提案【ていあん】があります。,Work - Comms,polite,proposal,"<ruby class=""vocab"">提案<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">ん</span></rt></ruby>"
今後の進め方を相談したいです。,I'd like to discuss how we proceed from here.,今後,今後【こんご】の進【すす】め方【かた】を相談【そうだん】したいです。,Work - Schedule,polite,from here on,"<ruby class=""vocab"">今後<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ご</span></rt></ruby>"
分析はまだ途中です。,The analysis isn't finished yet.,分析,分析【ぶんせき】はまだ途中【とちゅう】です。,Work - Data,polite,analysis,"<ruby class=""vocab"">分析<rt><span class=""pitch-l"">ぶ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">き</span></rt></ruby>"
過去のやり取りを探しています。,I'm looking for the earlier exchanges.,過去,過去【かこ】のやり取【と】りを探【さが】しています。,Work - Docs,polite,the past,"<ruby class=""vocab"">過去<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">こ</span></rt></ruby>"
文字が小さくて読めません。,The text is too small to read.,文字,文字【もじ】が小【ちい】さくて読【よ】めません。,Work - System,polite,"character, text","<ruby class=""vocab"">文字<rt><span class=""pitch-h"">も</span><span class=""pitch-l"">じ</span></rt></ruby>"
請求の金額が違っています。,The billed amount is wrong.,請求,請求【せいきゅう】の金額【きんがく】が違【ちが】っています。,Work - Money,polite,billing,"<ruby class=""vocab"">請求<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">きゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
採点の基準を決めましょう。,Let's decide the scoring criteria.,採点,採点【さいてん】の基準【きじゅん】を決【き】めましょう。,Work - Quality,polite,scoring,"<ruby class=""vocab"">採点<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">て</span><span class=""pitch-h"">ん</span></rt></ruby>"
実際に動かしてみました。,I actually ran it.,実際,実際【じっさい】に動【うご】かしてみました。,Work - Quality,polite,actually,"<ruby class=""vocab"">実際<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">い</span></rt></ruby>"
対象を絞ってから試します。,I'll narrow the scope before testing.,対象,対象【たいしょう】を絞【しぼ】ってから試【ため】します。,Work - Scope,polite,"target, scope","<ruby class=""vocab"">対象<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>"
指示が分かりにくかったです。,The instructions were hard to follow.,指示,指示【しじ】が分【わ】かりにくかったです。,Work - Comms,polite,instruction,"<ruby class=""vocab"">指示<rt><span class=""pitch-h"">し</span><span class=""pitch-l"">じ</span></rt></ruby>"
もっと簡単な方法があります。,There's an easier way.,方法,もっと簡単【かんたん】な方法【ほうほう】があります。,Work - Process,polite,method,"<ruby class=""vocab"">方法<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ほ</span><span class=""pitch-h"">う</span></rt></ruby>"
背景から説明します。,I'll start with the background.,背景,背景【はいけい】から説明【せつめい】します。,Work - Comms,polite,background,"<ruby class=""vocab"">背景<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">い</span><span class=""pitch-h"">け</span><span class=""pitch-h"">い</span></rt></ruby>"
上記の対応は終わっています。,The above has been dealt with.,上記,上記【じょうき】の対応【たいおう】は終【お】わっています。,Work - Docs,polite,the above,"<ruby class=""vocab"">上記<rt><span class=""pitch-h"">じょ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">き</span></rt></ruby>"
この部分の担当は私です。,This part is mine.,担当,この部分【ぶぶん】の担当【たんとう】は私【わたし】です。,Work - People,polite,the one responsible,"<ruby class=""vocab"">担当<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
今月の目標は達成できそうです。,It looks like we'll hit this month's target.,達成,今月【こんげつ】の目標【もくひょう】は達成【たっせい】できそうです。,Work - Process,polite,achievement,"<ruby class=""vocab"">達成<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
新しい道具を導入しました。,We brought in a new tool.,導入,新【あたら】しい道具【どうぐ】を導入【どうにゅう】しました。,Work - System,polite,introduction,"<ruby class=""vocab"">導入<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">う</span><span class=""pitch-h"">にゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
権限が足りないようです。,It looks like I don't have enough permissions.,権限,権限【けんげん】が足【た】りないようです。,Work - Access,polite,permissions,"<ruby class=""vocab"">権限<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span></rt></ruby>"
テストの分は除外しました。,I excluded the test entries.,除外,テストの分【ぶん】は除外【じょがい】しました。,Work - Scope,polite,exclusion,"<ruby class=""vocab"">除外<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">が</span><span class=""pitch-h"">い</span></rt></ruby>"
