Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
レスポンス物パース失敗,Response object parse failed,物,レスポンス物【もの】パース失敗【しっぱい】,Tech Noun - Object,wenyan,object / thing,"<ruby class=""vocab"">物<rt>もの</rt></ruby>"
物出す新しい参照毎回. メモ要,Object creates new reference every time. Memo needed,物,物【もの】出【だ】す新【あたら】しい参照【さんしょう】毎回【まいかい】. メモ要【よう】,Tech Noun - Object,wenyan,object / thing,"<ruby class=""vocab"">物<rt>もの</rt></ruby>"
返値アンデファインド. かた確認す,Return value is undefined. Check the type,値,返値【かえりち】アンデファインド. かた確認【かくにん】す,Tech Noun - Value,wenyan,value,"<ruby class=""vocab"">値<rt>あたい</rt></ruby>"
ナル値許容不可. ストリクトモード用いる,Null values not allowed. Use strict mode,値,ナル値【ち】許容【きょよう】不可【ふか】. ストリクトモード用【もち】いる,Tech Noun - Value,wenyan,value,"<ruby class=""vocab"">値<rt>あたい</rt></ruby>"
キャッシュ鍵にユーザーID用いる,Use userID as cache key,鍵,キャッシュ鍵【かぎ】にユーザーID用【もち】いる,Tech Noun - Key,wenyan,key,"<ruby class=""vocab"">鍵<rt>かぎ</rt></ruby>"
API鍵エンブ存す. ハードコード不可,Store API key in env. Hardcoding not allowed,鍵,API鍵【かぎ】エンブ存【ぞん】す. ハードコード不可【ふか】,Tech Noun - Key,wenyan,key,"<ruby class=""vocab"">鍵<rt>かぎ</rt></ruby>"
ユーザーズ表に100万行有り,Users table has 1 million rows,表,ユーザーズ表【ひょう】に100万行【まんぎょう】有【あ】り,Tech Noun - Table,wenyan,table / list,"<ruby class=""vocab"">表<rt>ひょう</rt></ruby>"
ジョイン三表. 遅い. 分割要,Joining three tables. Slow. Split needed,表,ジョイン三【さん】表【ひょう】. 遅【おそ】い. 分割【ぶんかつ】要【よう】,Tech Noun - Table,wenyan,table / list,"<ruby class=""vocab"">表<rt>ひょう</rt></ruby>"
新庫加える. デプス確認す,Add new library. Check dependencies,庫,新【しん】庫【こ】加【くわ】える. デプス確認【かくにん】す,Tech Noun - Library/DB,wenyan,library / database,"<ruby class=""vocab"">庫<rt>こ</rt></ruby>"
庫バージョン古い. 脆弱性有り,Library version old. Has vulnerability,庫,庫【こ】バージョン古【ふる】い. 脆弱性【ぜいじゃくせい】有【あ】り,Tech Noun - Library/DB,wenyan,library / database,"<ruby class=""vocab"">庫<rt>こ</rt></ruby>"
データ層とUI層分離す,Separate data layer and UI layer,層,データ層【そう】とUI層【そう】分離【ぶんり】す,Tech Noun - Layer,wenyan,layer,"<ruby class=""vocab"">層<rt>そう</rt></ruby>"
ミドルウェア層に認証加える,Add auth to middleware layer,層,ミドルウェア層【そう】に認証【にんしょう】加【くわ】える,Tech Noun - Layer,wenyan,layer,"<ruby class=""vocab"">層<rt>そう</rt></ruby>"
前端と後端コントラクト合わず,Frontend and backend contract mismatch,端,前端【ぜんたん】と後端【こうたん】コントラクト合【あ】わず,Tech Noun - Endpoint,wenyan,end / endpoint,"<ruby class=""vocab"">端<rt>たん</rt></ruby>"
新エンドポイント加える. ルート設定要,Add new endpoint. Route config needed,端,新【しん】エンドポイント加【くわ】える. ルート設定【せってい】要【よう】,Tech Noun - Endpoint,wenyan,end / endpoint,"<ruby class=""vocab"">端<rt>たん</rt></ruby>"
全局態避ける. コンテキスト以て代わる,Avoid global state. Replace with context,態,全局【ぜんきょく】態【たい】避【さ】ける. コンテキスト以【もっ】て代【か】わる,Tech Noun - State,wenyan,state,"<ruby class=""vocab"">態<rt>たい</rt></ruby>"
態管理リダックス用いる. 複雑故,Use Redux for state management. Because complex,態,態【たい】管理【かんり】リダックス用【もち】いる. 複雑【ふくざつ】故【ゆえ】,Tech Noun - State,wenyan,state,"<ruby class=""vocab"">態<rt>たい</rt></ruby>"
引数かたストリング. ナンバー非ず,Parameter type is string. Not number,型,引数【ひきすう】かたストリング. ナンバー非【あら】ず,Tech Noun - Type,wenyan,type,"<ruby class=""vocab"">型<rt>かた</rt></ruby>"
ジェネリックかた用いる. 再利用可,Use generic type. Reusable,型,ジェネリックかた用【もち】いる. 再利用【さいりよう】可【か】,Tech Noun - Type,wenyan,type,"<ruby class=""vocab"">型<rt>かた</rt></ruby>"
500誤. サーバーログ査す,500 error. Check server logs,誤,500誤【ご】. サーバーログ査【さ】す,Tech Noun - Error,wenyan,error,"<ruby class=""vocab"">誤<rt>ご</rt></ruby>"
誤処理無し. トライキャッチ加える要,No error handling. Need to add try-catch,誤,誤【ご】処理【しょり】無【な】し. トライキャッチ加【くわ】える要【よう】,Tech Noun - Error,wenyan,error,"<ruby class=""vocab"">誤<rt>ご</rt></ruby>"
API路重複有り. 整理要,API routes have duplicates. Cleanup needed,路,API路【ろ】重複【じゅうふく】有【あ】り. 整理【せいり】要【よう】,Tech Noun - Route,wenyan,route / path,"<ruby class=""vocab"">路<rt>ろ</rt></ruby>"
新路加える. ミドルウェア適用す,Add new route. Apply middleware,路,新【しん】路【ろ】加【くわ】える. ミドルウェア適用【てきよう】す,Tech Noun - Route,wenyan,route / path,"<ruby class=""vocab"">路<rt>ろ</rt></ruby>"
ビルド速くなった. キャッシュ効く,Build became fast. Cache is working,速,ビルド速【はや】くなった. キャッシュ効【き】く,Descriptor - Performance,wenyan,fast,"<ruby class=""vocab"">速<rt>はやい</rt></ruby>"
クエリ遅過ぎ. エクスプレイン査す,Query too slow. Check with explain,遅,クエリ遅【おそ】過【す】ぎ. エクスプレイン査【さ】す,Descriptor - Performance,wenyan,slow,"<ruby class=""vocab"">遅<rt>おそい</rt></ruby>"
バンドル重過ぎ. コードスプリット要,Bundle too heavy. Code split needed,重,バンドル重【おも】過【す】ぎ. コードスプリット要【よう】,Descriptor - Weight,wenyan,heavy / re-do,"<ruby class=""vocab"">重<rt>おもい</rt></ruby>"
リスト空. データフェッチ失敗か,List is empty. Maybe data fetch failed,空,リスト空【くう】. データフェッチ失敗【しっぱい】か,Descriptor - Empty,wenyan,empty / null,"<ruby class=""vocab"">空<rt>くう</rt></ruby>"
旧APIまだ稼働中. 廃止予定,Old API still running. Scheduled for deprecation,旧,旧【きゅう】APIまだ稼働中【かどうちゅう】. 廃止【はいし】予定【よてい】,Descriptor - Age,wenyan,old,"<ruby class=""vocab"">旧<rt>きゅう</rt></ruby>"
新バージョン破壊的変更有り,New version has breaking changes,新,新【しん】バージョン破壊的【はかいてき】変更【へんこう】有【あ】り,Descriptor - Age,wenyan,new,"<ruby class=""vocab"">新<rt>しん</rt></ruby>"
コード冗也. DRY原則適用す,Code is redundant. Apply DRY principle,冗,コード冗【じょう】也【なり】. DRY原則【げんそく】適用【てきよう】す,Descriptor - Quality,wenyan,redundant,"<ruby class=""vocab"">冗<rt>じょう</rt></ruby>"
デプロイ安定. ロールバック不要,Deploy is stable. Rollback not needed,安,デプロイ安定【あんてい】. ロールバック不要【ふよう】,Descriptor - Quality,wenyan,stable / safe,"<ruby class=""vocab"">安<rt>あん</rt></ruby>"
DB査遅い. インデックス加える可?,DB query slow. Can I add an index?,査遅,DB査【さ】遅【おそ】い. インデックス加【くわ】える可【か】?,Pattern - Question,wenyan,query + slow,"<ruby class=""vocab"">査遅<rt>さおそい</rt></ruby>"
此関数何故アンデファインド返す?,Why does this function return undefined?,何故,此【この】関数【かんすう】何故【なぜ】アンデファインド返【かえ】す?,Pattern - Question,wenyan,why,"<ruby class=""vocab"">何故<rt>なぜ</rt></ruby>"
旧コンポーネント削. 新に改む,Delete old component. Replace with new,改む,旧【きゅう】コンポーネント削【さく】. 新【しん】に改【あらた】む,Pattern - Replace,wenyan,change to,"<ruby class=""vocab"">改む<rt>あらたむ</rt></ruby>"
テスト皆通. 然しビルド遅い,All tests pass. But build is slow,然,テスト皆【みな】通【つう】. 然【しか】しビルド遅【おそ】い,Pattern - Contrast,wenyan,but / however,"<ruby class=""vocab"">然<rt>しかし</rt></ruby>"
トークン局態に存す. 全局不可,Store token in local state. Global not allowed,局態,トークン局態【きょくたい】に存【ぞん】す. 全局【ぜんきょく】不可【ふか】,Pattern - Scope,wenyan,local state,"<ruby class=""vocab"">局態<rt>きょくたい</rt></ruby>"
此或いはバグ或いは仕様,This is either a bug or a feature,或,此【これ】或【ある】いはバグ或【ある】いは仕様【しよう】,Pattern - Alternative,wenyan,or / either,"<ruby class=""vocab"">或<rt>あるいは</rt></ruby>"
先にテスト書く. 後にコード実装す,First write tests. Then implement code,先後,先【さき】にテスト書【か】く. 後【のち】にコード実装【じっそう】す,Pattern - Sequence,wenyan,first...then,"<ruby class=""vocab"">先後<rt>さきのち</rt></ruby>"
CI通過. 即マージ可,CI passed. Immediately mergeable,即,CI通過【つうか】. 即【そく】マージ可【か】,Pattern - Immediate,wenyan,immediately,"<ruby class=""vocab"">即<rt>そく</rt></ruby>"
