Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
新しい顧客からの入金を確認いたします。,I will confirm the incoming payment from the new client.,顧客,新【あたら】しい顧客【こきゃく】からの入金【にゅうきん】を確認【かくにん】いたします。,取引先・入金 - client,polite,client,
請求先の住所を修正いたします。,I will correct the bill-to address.,請求先,請求先【せいきゅうさき】の住所【じゅうしょ】を修正【しゅうせい】いたします。,取引先・入金 - bill-to,polite,bill-to,
この取引先とは長いお付き合いがございます。,We have a long relationship with this counterparty.,取引先,この取引先【とりひきさき】とは長【なが】いお付【つ】き合【あ】いがございます。,取引先・入金 - counterparty,polite,counterparty,
仕入先への支払を来週行います。,We will make the payment to the supplier next week.,仕入先,仕入先【しいれさき】への支払【しはらい】を来週【らいしゅう】行【おこな】います。,取引先・入金 - supplier / seller,polite,supplier / seller,
発注先に見積もりを依頼いたします。,We will request a quote from the vendor.,発注先,発注先【はっちゅうさき】に見積【みつ】もりを依頼【いらい】いたします。,取引先・入金 - ordering destination (vendor),polite,ordering destination (vendor),
本日、入金がございました。,There was an incoming payment today.,入金,本日【ほんじつ】、入金【にゅうきん】がございました。,取引先・入金 - incoming payment,polite,incoming payment,
今月末に支払を済ませます。,We will complete the outgoing payment at the end of this month.,支払,今月末【こんげつまつ】に支払【しはらい】を済【す】ませます。,取引先・入金 - payment (outgoing),polite,payment (outgoing),
入金の消込を行います。,We will reconcile the incoming payment.,消込,入金【にゅうきん】の消込【けしこみ】を行【おこな】います。,取引先・入金 - reconciliation / clearing,polite,reconciliation / clearing,
今回は部分入金となっております。,This time it is a partial payment.,部分入金,今回【こんかい】は部分入金【ぶぶんにゅうきん】となっております。,取引先・入金 - partial payment,polite,partial payment,
過入金の分は返金いたします。,We will refund the overpayment amount.,過入金,過入金【かにゅうきん】の分【ぶん】は返金【へんきん】いたします。,取引先・入金 - overpayment,polite,overpayment,
この金額は前受金として計上します。,We will record this amount as an advance received.,前受金,この金額【きんがく】は前受金【まえうけきん】として計上【けいじょう】します。,取引先・入金 - advance received (liability),polite,advance received (liability),
代金は手形で受け取りました。,We received the payment by promissory note.,手形,代金【だいきん】は手形【てがた】で受【う】け取【と】りました。,取引先・入金 - promissory note,polite,promissory note,
電子記録債権で決済いたします。,We will settle by electronically recorded monetary claim.,電子記録債権,電子記録債権【でんしきろくさいけん】で決済【けっさい】いたします。,取引先・入金 - electronically recorded claim,polite,electronically recorded claim,
支払通知書を送付いたします。,We will send the payment notice.,支払通知書,支払通知書【しはらいつうちしょ】を送付【そうふ】いたします。,取引先・入金 - payment notice,polite,payment notice,
報酬から源泉徴収いたします。,We will apply withholding tax to the remuneration.,源泉徴収,報酬【ほうしゅう】から源泉徴収【げんせんちょうしゅう】いたします。,取引先・入金 - withholding tax,polite,withholding tax,
振込手数料は当社が負担します。,Our company will cover the bank transfer fee.,振込手数料,振込手数料【ふりこみてすうりょう】は当社【とうしゃ】が負担【ふたん】します。,取引先・入金 - bank transfer fee,polite,bank transfer fee,
