Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
直しといたよ。,Fixed it for you.,直しといた,直【なお】しといたよ。,Chat - Done,casual,fixed it (in advance),"<ruby class=""vocab"">直しといた<rt>なおしといた</rt></ruby>"
これバグってない？,Isn't this bugged?,バグって,これバグってない？,Chat - Debug,casual,is buggy (slang),"<span class=""vocab"">バグって</span>"
たぶん間に合わなそう。,Probably won't make it in time.,間に合わなそう,たぶん間【ま】に合【あ】わなそう。,Chat - Deadline,casual,won't make it in time,"<ruby class=""vocab"">間に合わなそう<rt>まにあわなそう</rt></ruby>"
ちょっと見てもらっていい？,Can you take a quick look?,見てもらっていい,ちょっと見【み】てもらっていい？,Chat - Request,casual,can you look at it (casual),"<ruby class=""vocab"">見てもらっていい<rt>みてもらっていい</rt></ruby>"
レビューお願い！,Review please!,お願い,レビューお願【ねが】い！,Chat - Request,casual,please (casual),"<ruby class=""vocab"">お願い<rt>おねがい</rt></ruby>"
アプルーブしたよ。,Approved it.,アプルーブ,アプルーブしたよ。,Chat - Review,casual,approve (loanword),"<ruby class=""vocab"">アプルーブ<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">る</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ぶ</span></rt></ruby>"
まだWIPだから見なくていいよ。,"Still WIP, no need to look yet.",WIP,まだWIPだから見【み】なくていいよ。,Chat - Status,casual,work in progress,"<span class=""vocab"">WIP</span>"
動いた！,It works now!,動いた,動【うご】いた！,Chat - Success,casual,it worked,"<ruby class=""vocab"">動いた<rt>うごいた</rt></ruby>"
ローカルだと動くんだけどなあ。,It works locally though...,動くんだけど,ローカルだと動【うご】くんだけどなあ。,Chat - Debug,casual,"works, but...","<ruby class=""vocab"">動くんだけど<rt>うごくんだけど</rt></ruby>"
再現できた。,Reproduced it.,再現できた,再現【さいげん】できた。,Chat - Debug,casual,managed to reproduce,"<ruby class=""vocab"">再現できた<rt>さいげんできた</rt></ruby>"
それな。,Exactly. / So true.,それな,それな。,Chat - Agreement,casual,exactly (slang),"<span class=""vocab"">それな</span>"
わかる。,I feel you.,わかる,わかる。,Chat - Agreement,casual,"I know, right","<span class=""vocab""><span class=""pitch-l"">わ</span><span class=""pitch-h"">か</span><span class=""pitch-l"">る</span></span>"
りょ。,K. (got it),りょ,りょ。,Chat - Acknowledgment,casual,roger (slang),"<span class=""vocab"">りょ</span>"
一旦マージしちゃうね。,Gonna go ahead and merge.,しちゃう,一旦【いったん】マージしちゃうね。,Chat - Git,casual,go ahead and do,"<span class=""vocab"">しちゃう</span>"
あとでやっとく。,I'll get to it later.,やっとく,あとでやっとく。,Chat - Promise,casual,will do it (in advance),"<span class=""vocab"">やっとく</span>"
今日中に終わらせるね。,I'll finish it today.,終わらせる,今日中【きょうじゅう】に終【お】わらせるね。,Chat - Promise,casual,will finish,"<ruby class=""vocab"">終わらせる<rt>おわらせる</rt></ruby>"
ごめん、まだできてない。,"Sorry, not done yet.",できてない,ごめん、まだできてない。,Chat - Status,casual,not done yet,"<span class=""vocab"">できてない</span>"
もうちょいでできる。,Almost done.,もうちょい,もうちょいでできる。,Chat - Status,casual,a little more (slang),"<span class=""vocab"">もうちょい</span>"
それでいいよ。,That works for me.,いいよ,それでいいよ。,Chat - Agreement,casual,that's fine,"<span class=""vocab"">いいよ</span>"
どっちでもいいよ。,Either is fine.,どっちでも,どっちでもいいよ。,Chat - Agreement,casual,either way,"<span class=""vocab"">どっちでも</span>"
まじか。,Seriously?,まじか,まじか。,Chat - Reaction,casual,seriously (slang),"<span class=""vocab""><span class=""pitch-h"">ま</span><span class=""pitch-l"">じ</span><span class=""pitch-l"">か</span></span>"
