Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
登記事項証明書を取り寄せてください。,Please obtain the property registration certificate.,登記事項証明書,登記事項証明書【とうきじこうしょうめいしょ】を取【と】り寄【よ】せてください。,物件情報・応用 - title record,polite,registration certificate,"<ruby class=""vocab"">登記事項証明書<rt>とうきじこうしょうめいしょ</rt></ruby>"
公図を見せていただけますか。,Could you show me the cadastral map?,公図,公図【こうず】を見【み】せていただけますか。,物件情報・応用 - cadastral map,keigo,cadastral map,"<ruby class=""vocab"">公図<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ず</span></rt></ruby>"
地番を教えてください。,Please tell me the parcel number.,地番,地番【ちばん】を教【おし】えてください。,物件情報・応用 - parcel number,polite,lot / parcel number,"<ruby class=""vocab"">地番<rt><span class=""pitch-l"">ち</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>"
確定測量はされていますか。,Has a definitive survey been carried out?,確定測量,確定測量【かくていそくりょう】はされていますか。,物件情報・応用 - survey,polite,confirmed survey,"<ruby class=""vocab"">確定測量<rt>かくていそくりょう</rt></ruby>"
境界標は現地にありますか。,Are the boundary markers present on site?,境界標,境界標【きょうかいひょう】は現地【げんち】にありますか。,物件情報・応用 - boundary markers,polite,boundary marker,"<ruby class=""vocab"">境界標<rt>きょうかいひょう</rt></ruby>"
隣地所有者との境界確認書はありますか。,Is there a boundary agreement with the neighbours?,境界確認書,隣地【りんち】所有者【しょゆうしゃ】との境界確認書【きょうかいかくにんしょ】はありますか。,物件情報・応用 - boundary agreement,polite,boundary confirmation,"<ruby class=""vocab"">境界確認書<rt>きょうかいかくにんしょ</rt></ruby>"
抵当権は設定されていますか。,Is a mortgage registered against it?,抵当権,抵当権【ていとうけん】は設定【せってい】されていますか。,物件情報・応用 - encumbrance,polite,mortgage lien,"<ruby class=""vocab"">抵当権<rt>ていとうけん</rt></ruby>"
公簿売買ですか、実測売買ですか。,Is it sold by registry area or by measured area?,実測売買,公簿売買【こうぼばいばい】ですか、実測売買【じっそくばいばい】ですか。,物件情報・応用 - basis of sale,polite,sale by actual measurement,"<ruby class=""vocab"">実測売買<rt>じっそくばいばい</rt></ruby>"
縄伸びの可能性はありますか。,Could the actual area exceed the registered area?,縄伸び,縄伸【なわの】びの可能性【かのうせい】はありますか。,物件情報・応用 - area discrepancy,polite,actual area exceeding registry,"<ruby class=""vocab"">縄伸び<rt>なわのび</rt></ruby>"
固定資産評価証明書をいただけますか。,Could I have the assessed value certificate?,固定資産評価証明書,固定資産評価証明書【こていしさんひょうかしょうめいしょ】をいただけますか。,物件情報・応用 - assessed value,keigo,assessed value certificate,"<ruby class=""vocab"">固定資産評価証明書<rt>こていしさんひょうかしょうめいしょ</rt></ruby>"
売主は登記名義人ご本人ですか。,Is the seller the registered owner themselves?,登記名義人,売主【うりぬし】は登記名義人【とうきめいぎにん】ご本人【ほんにん】ですか。,物件情報・応用 - verify the seller,polite,registered titleholder,"<ruby class=""vocab"">登記名義人<rt>とうきめいぎにん</rt></ruby>"
地役権や通行権は設定されていますか。,Are any easements or rights of way registered?,地役権,地役権【ちえきけん】や通行権【つうこうけん】は設定【せってい】されていますか。,物件情報・応用 - easements,polite,easement,"<ruby class=""vocab"">地役権<rt>ちえきけん</rt></ruby>"
過去に建物が建っていましたか。,Was there ever a building on it?,建物,過去【かこ】に建物【たてもの】が建【た】っていましたか。,物件情報・応用 - site history,polite,building,"<ruby class=""vocab"">建物<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">て</span><span class=""pitch-l"">も</span><span class=""pitch-l"">の</span></rt></ruby>"
埋設物や地中障害物はありませんか。,Is there anything buried or obstructing underground?,地中障害物,埋設物【まいせつぶつ】や地中障害物【ちちゅうしょうがいぶつ】はありませんか。,物件情報・応用 - buried obstacles,polite,underground obstruction,"<ruby class=""vocab"">地中障害物<rt>ちちゅうしょうがいぶつ</rt></ruby>"
一筆ですか、それとも複数に分かれていますか。,"Is it one parcel, or split into several?",一筆,一筆【いっぴつ】ですか、それとも複数【ふくすう】に分【わ】かれていますか。,物件情報・応用 - parcel count,polite,one parcel,"<ruby class=""vocab"">一筆<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">ぴ</span><span class=""pitch-h"">つ</span></rt></ruby>"
