Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
今日はスタンドアップを15分に抑えましょう。,Let's keep standup to 15 minutes today.,スタンドアップ,今日【きょう】はスタンドアップを15分【ふん】に抑【おさ】えましょう。,Agile - Meeting,polite,standup,"<span class=""vocab"">スタンドアップ</span>"
現在のスプリントでこれを終わらせます。,We'll finish this in the current sprint.,スプリント,現在【げんざい】のスプリントでこれを終【お】わらせます。,Agile - Sprint,polite,sprint,"<ruby class=""vocab"">スプリント<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">と</span></rt></ruby>"
これを次のスプリントのバックログに追加してください。,Add this to the backlog for next sprint.,バックログ,これを次【つぎ】のスプリントのバックログに追加【ついか】してください。,Agile - Backlog,polite,backlog,"<ruby class=""vocab"">バックログ<rt><span class=""pitch-l"">ば</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ぐ</span></rt></ruby>"
このバグのチケットを作成してください。,Create a ticket for this bug.,チケット,このバグのチケットを作成【さくせい】してください。,Agile - Task,polite,ticket,"<ruby class=""vocab"">チケット<rt><span class=""pitch-h"">ち</span><span class=""pitch-l"">け</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>"
これを小さなタスクに分割してください。,Break this into smaller tasks.,タスク,これを小【ちい】さなタスクに分割【ぶんかつ】してください。,Agile - Task,polite,task,"<ruby class=""vocab"">タスク<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">す</span><span class=""pitch-l"">く</span></rt></ruby>"
このユーザーストーリーにはもっと詳細が必要です。,This user story needs more details.,ストーリー,このユーザーストーリーにはもっと詳細【しょうさい】が必要【ひつよう】です。,Agile - User Story,polite,story,"<ruby class=""vocab"">ストーリー<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">と</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">り</span><span class=""pitch-l"">ー</span></rt></ruby>"
これは認証エピックの一部です。,This is part of the authentication epic.,エピック,これは認証【にんしょう】エピックの一部【いちぶ】です。,Agile - Epic,polite,epic,"<ruby class=""vocab"">エピック<rt><span class=""pitch-h"">え</span><span class=""pitch-l"">ぴ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">く</span></rt></ruby>"
これの優先度は何ですか？,What's the priority on this?,優先度,これの優先度【ゆうせんど】は何【なん】ですか？,Agile - Priority,polite,priority,"<ruby class=""vocab"">優先度<rt>ゆうせんど</rt></ruby>"
これは優先度高です。最初にやってください。,This is high priority - do it first.,優先度高,これは優先度高【ゆうせんどたか】です。最初【さいしょ】にやってください。,Agile - Priority,polite,high priority,"<ruby class=""vocab"">優先度高<rt>ゆうせんどたか</rt></ruby>"
これは優先度低です。後でできます。,"This is low priority, we can do it later.",優先度低,これは優先度低【ゆうせんどひく】です。後【あと】でできます。,Agile - Priority,polite,priority,"<ruby class=""vocab"">優先度低<rt>ゆうせんどひく</rt></ruby>"
