Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
プログラミングとは、コンピューターへの指示を書くことです。,Programming means writing instructions for the computer.,指示,プログラミングとは、コンピューターへの指示【しじ】を書【か】くことです。,The big picture,polite,instruction / directive,"<ruby class=""vocab"">指示<rt><span class=""pitch-h"">し</span><span class=""pitch-l"">じ</span></rt></ruby>"
コンピューターは、書いた通りにしか動きません。,The computer only does exactly what you write.,通りに,コンピューターは、書【か】いた通【とお】りにしか動【うご】きません。,The big picture,polite,exactly as / according to,"<ruby class=""vocab"">通りに<rt>とおりに</rt></ruby>"
Webサイトは、フロントエンドとバックエンドに分かれています。,A website is split into frontend and backend.,分かれて,Webサイトは、フロントエンドとバックエンドに分【わ】かれています。,The big picture,polite,to be split / divided,"<ruby class=""vocab"">分かれて<rt>わかれて</rt></ruby>"
フロントエンドは、ユーザーに見える部分です。,The frontend is the part visible to the user.,見える,フロントエンドは、ユーザーに見【み】える部分【ぶぶん】です。,The big picture,polite,to be visible,"<ruby class=""vocab"">見える<rt><span class=""pitch-l"">み</span><span class=""pitch-h"">え</span><span class=""pitch-l"">る</span></rt></ruby>"
バックエンドは、裏側でデータを処理する部分です。,The backend processes data behind the scenes.,処理,バックエンドは、裏側【うらがわ】でデータを処理【しょり】する部分【ぶぶん】です。,The big picture,polite,processing / handling,"<ruby class=""vocab"">処理<rt><span class=""pitch-h"">しょ</span><span class=""pitch-l"">り</span></rt></ruby>"
クライアントがリクエストを送り、サーバーがレスポンスを返します。,"The client sends a request, and the server returns a response.",返します,クライアントがリクエストを送【おく】り、サーバーがレスポンスを返【かえ】します。,The big picture,polite,to return (send back),"<ruby class=""vocab"">返します<rt>かえします</rt></ruby>"
Webの仕組みは、レストランに似ています。お客さんが注文して、キッチンが料理を作ります。,"The web works like a restaurant: the customer orders, the kitchen cooks.",仕組み,Webの仕組【しく】みは、レストランに似【に】ています。お客【きゃく】さんが注文【ちゅうもん】して、キッチンが料理【りょうり】を作【つく】ります。,Your signature analogies,polite,mechanism / how it works,"<ruby class=""vocab"">仕組み<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">く</span><span class=""pitch-h"">み</span></rt></ruby>"
HTMLは骨組み、CSSは見た目、JavaScriptは動きだと考えてください。,"Think of HTML as the skeleton, CSS as the look, and JavaScript as the movement.",骨組み,HTMLは骨組【ほねぐ】み、CSSは見【み】た目【め】、JavaScriptは動【うご】きだと考【かんが】えてください。,Your signature analogies,polite,framework / skeleton,"<ruby class=""vocab"">骨組み<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ぐ</span><span class=""pitch-h"">み</span></rt></ruby>"
Gitは、時間を戻せるタイムマシンのようなものです。,Git is like a time machine that can rewind time.,戻せる,Gitは、時間【じかん】を戻【もど】せるタイムマシンのようなものです。,Your signature analogies,polite,to be able to revert / go back,"<ruby class=""vocab"">戻せる<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">せ</span><span class=""pitch-l"">る</span></rt></ruby>"
作る前に、まず問題を理解しましょう。お医者さんも、診てから薬を出しますよね。,"Before building, understand the problem first — a doctor examines before prescribing, right?",理解,作【つく】る前【まえ】に、まず問題【もんだい】を理解【りかい】しましょう。お医者【いしゃ】さんも、診【み】てから薬【くすり】を出【だ】しますよね。,Your signature analogies,casual,understanding,"<ruby class=""vocab"">理解<rt><span class=""pitch-h"">り</span><span class=""pitch-l"">か</span><span class=""pitch-l"">い</span></rt></ruby>"
HTMLは、ページの構造を作ります。,HTML builds the structure of the page.,構造,HTMLは、ページの構造【こうぞう】を作【つく】ります。,HTML / CSS,polite,structure,"<ruby class=""vocab"">構造<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">う</span></rt></ruby>"
タグで文字や画像を囲んで、意味を与えます。,Tags wrap text and images to give them meaning.,囲んで,タグで文字【もじ】や画像【がぞう】を囲【かこ】んで、意味【いみ】を与【あた】えます。,HTML / CSS,polite,to wrap / enclose,"<ruby class=""vocab"">囲んで<rt>かこんで</rt></ruby>"
CSSで、色や大きさ、配置を決めます。,"With CSS you decide color, size, and layout.",配置,CSSで、色【いろ】や大【おお】きさ、配置【はいち】を決【き】めます。,HTML / CSS,polite,layout / placement,"<ruby class=""vocab"">配置<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ち</span></rt></ruby>"
この要素を、画面の中央に置いてみましょう。,Let's place this element in the center of the screen.,要素,この要素【ようそ】を、画面【がめん】の中央【ちゅうおう】に置【お】いてみましょう。,HTML / CSS,polite,element,"<ruby class=""vocab"">要素<rt><span class=""pitch-h"">よ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">そ</span></rt></ruby>"
変数は、データを入れておく箱のようなものです。,A variable is like a box for storing data.,変数,変数【へんすう】は、データを入【い】れておく箱【はこ】のようなものです。,Logic,polite,variable,"<ruby class=""vocab"">変数<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">す</span><span class=""pitch-l"">う</span></rt></ruby>"
関数は、一連の処理をひとつにまとめたものです。,A function bundles a series of steps into one.,関数,関数【かんすう】は、一連【いちれん】の処理【しょり】をひとつにまとめたものです。,Logic,polite,function,"<ruby class=""vocab"">関数<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">す</span><span class=""pitch-l"">う</span></rt></ruby>"
関数に値を渡すと、結果が返ってきます。,"When you pass a value to a function, a result comes back.",値,関数【かんすう】に値【あたい】を渡【わた】すと、結果【けっか】が返【かえ】ってきます。,Logic,polite,value,"<ruby class=""vocab"">値<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">た</span><span class=""pitch-h"">い</span></rt></ruby>"
if文を使うと、条件によって処理を分けられます。,"With an if statement, you can branch by condition.",条件,if文【ぶん】を使【つか】うと、条件【じょうけん】によって処理【しょり】を分【わ】けられます。,Logic,polite,condition,"<ruby class=""vocab"">条件<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">け</span><span class=""pitch-l"">ん</span></rt></ruby>"
ループを使えば、同じ処理を何度も繰り返せます。,"With a loop, you can repeat the same process many times.",繰り返せ,ループを使【つか】えば、同【おな】じ処理【しょり】を何度【なんど】も繰【く】り返【かえ】せます。,Logic,polite,to repeat,"<ruby class=""vocab"">繰り返せ<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">り</span><span class=""pitch-h"">か</span><span class=""pitch-h"">え</span><span class=""pitch-h"">せ</span></rt></ruby>"
配列は、複数の値を順番に並べたものです。,An array is multiple values lined up in order.,配列,配列【はいれつ】は、複数【ふくすう】の値【あたい】を順番【じゅんばん】に並【なら】べたものです。,Data,polite,array,"<ruby class=""vocab"">配列<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">い</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">つ</span></rt></ruby>"
オブジェクトは、名前と値のペアでデータを持ちます。,An object holds data as name-and-value pairs.,オブジェクト,オブジェクトは、名前【なまえ】と値【あたい】のペアでデータを持【も】ちます。,Data,polite,object,"<ruby class=""vocab"">オブジェクト<rt><span class=""pitch-h"">お</span><span class=""pitch-l"">ぶ</span><span class=""pitch-l"">じぇ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">と</span></rt></ruby>"
JSONは、データをやり取りするための形式です。,JSON is a format for exchanging data.,形式,JSONは、データをやり取【と】りするための形式【けいしき】です。,Data,polite,format,"<ruby class=""vocab"">形式<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">い</span><span class=""pitch-h"">し</span><span class=""pitch-h"">き</span></rt></ruby>"
データベースは、情報を整理して保存する場所です。,A database is a place to organize and store information.,保存,データベースは、情報【じょうほう】を整理【せいり】して保存【ほぞん】する場所【ばしょ】です。,Data,polite,to save / store,"<ruby class=""vocab"">保存<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">ん</span></rt></ruby>"
サーバーからデータを取ってくるには、少し時間がかかります。,Fetching data from the server takes a little time.,取ってくる,サーバーからデータを取【と】ってくるには、少【すこ】し時間【じかん】がかかります。,Async / API,polite,to fetch / retrieve,"<ruby class=""vocab"">取ってくる<rt>とってくる</rt></ruby>"
だから、await を使って結果を待ちます。,So we use await to wait for the result.,待ちます,だから、await を使【つか】って結果【けっか】を待【ま】ちます。,Async / API,polite,to wait,"<ruby class=""vocab"">待ちます<rt>まちます</rt></ruby>"
APIは、プログラム同士が話すための窓口です。,An API is a window through which programs talk to each other.,窓口,APIは、プログラム同士【どうし】が話【はな】すための窓口【まどぐち】です。,Async / API,polite,contact point / interface,"<ruby class=""vocab"">窓口<rt><span class=""pitch-l"">ま</span><span class=""pitch-h"">ど</span><span class=""pitch-l"">ぐ</span><span class=""pitch-l"">ち</span></rt></ruby>"
変更を保存することを、コミットと言います。,Saving a change is called a commit.,コミット,変更【へんこう】を保存【ほぞん】することを、コミットと言【い】います。,Version control,polite,commit,"<ruby class=""vocab"">コミット<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">み</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>"
ブランチを分ければ、安心して実験できます。,"If you branch off, you can experiment with peace of mind.",実験,ブランチを分【わ】ければ、安心【あんしん】して実験【じっけん】できます。,Version control,polite,experiment,"<ruby class=""vocab"">実験<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">け</span><span class=""pitch-h"">ん</span></rt></ruby>"
間違えても、前の状態に戻せます。,"Even if you make a mistake, you can return to the previous state.",状態,間違【まちが】えても、前【まえ】の状態【じょうたい】に戻【もど】せます。,Version control,polite,state / condition,"<ruby class=""vocab"">状態<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">た</span><span class=""pitch-h"">い</span></rt></ruby>"
エラーは失敗ではなく、ヒントです。,An error isn't a failure — it's a hint.,失敗,エラーは失敗【しっぱい】ではなく、ヒントです。,Errors & debugging,polite,failure,"<ruby class=""vocab"">失敗<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">ぱ</span><span class=""pitch-h"">い</span></rt></ruby>"
まず、エラーメッセージをよく読みましょう。,"First, read the error message carefully.",よく,まず、エラーメッセージをよく読【よ】みましょう。,Errors & debugging,polite,carefully / thoroughly,"<span class=""vocab""><span class=""pitch-h"">よ</span><span class=""pitch-l"">く</span></span>"
一つずつ確認して、原因を探しましょう。,Let's check one at a time and find the cause.,原因,一【ひと】つずつ確認【かくにん】して、原因【げんいん】を探【さが】しましょう。,Errors & debugging,polite,cause,"<ruby class=""vocab"">原因<rt><span class=""pitch-l"">げ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span></rt></ruby>"
どこまで正しく動くか、切り分けて考えます。,We narrow down how far it works correctly.,切り分けて,どこまで正【ただ】しく動【うご】くか、切【き】り分【わ】けて考【かんが】えます。,Errors & debugging,polite,to isolate / narrow down,"<ruby class=""vocab"">切り分けて<rt>きりわけて</rt></ruby>"
コンポーネントは、再利用できる部品です。,A component is a reusable part.,再利用,コンポーネントは、再利用【さいりよう】できる部品【ぶひん】です。,Components,polite,reuse,"<ruby class=""vocab"">再利用<rt>さいりよう</rt></ruby>"
おかげで、同じUIを何度も作らずに済みます。,"Thanks to that, you don't have to build the same UI again and again.",おかげで,おかげで、同【おな】じUIを何度【なんど】も作【つく】らずに済【す】みます。,Components,polite,thanks to / owing to,"<span class=""vocab"">おかげで</span>"
state は、コンポーネントが覚えておくデータです。,State is data that the component remembers.,覚えて,state は、コンポーネントが覚【おぼ】えておくデータです。,Components,polite,to remember / hold,"<ruby class=""vocab"">覚えて<rt>おぼえて</rt></ruby>"
良い答えは、良い質問から生まれます。,A good answer is born from a good question.,生まれます,良【い】い答【こた】えは、良【い】い質問【しつもん】から生【う】まれます。,AI & prompting,polite,to be born / arise,"<ruby class=""vocab"">生まれます<rt>うまれます</rt></ruby>"
AIには、具体的に、例を出して伝えましょう。,"Tell the AI specifically, giving examples.",具体的に,AIには、具体的【ぐたいてき】に、例【れい】を出【だ】して伝【つた】えましょう。,AI & prompting,polite,concretely / specifically,"<ruby class=""vocab"">具体的に<rt>ぐたいてきに</rt></ruby>"
AIは、渡した情報しか知りません。,The AI only knows the information you give it.,情報,AIは、渡【わた】した情報【じょうほう】しか知【し】りません。,AI & prompting,polite,information,"<ruby class=""vocab"">情報<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ほ</span><span class=""pitch-h"">う</span></rt></ruby>"
