tier,row,sentence,expected,transcript,kana_expected,kana_transcript,edit_distance,length_delta,status
1,2,今ログインのバグに取り組んでいます。,今ログインのバグに取り組んでいます。,今ログインのバグに取り組んでいます,イマログインノバグニトリクンデイマス,イマログインノバグニトリクンデイマス,0,0,OK
1,7,モバイルで動くか確認してもらえますか？,モバイルで動くか確認してもらえますか？,モバイルで動くか確認してもらえますか,モバイルデウゴクカカクニンシテモラエマスカ,モバイルデウゴクカカクニンシテモラエマスカ,0,0,OK
1,14,なるほど、説明ありがとうございます。,なるほど、説明ありがとうございます。,なるほど説明ありがとうございます,ナルホドセツメイアリガトウゴザイマス,ナルホドセツメイアリガトウゴザイマス,0,0,OK
1,15,了解、今から始めます。,了解、今から始めます。,了解、今から始めます,リョウカイイマカラハジメマス,リョウカイイマカラハジメマス,0,0,OK
1,24,ビルドはまだ実行中です。,ビルドは、まだ実行中です。,ビルドはまだ実行中です,ビルドハマダジッコウチュウデス,ビルドハマダジッコウチュウデス,0,0,OK
1,40,コンフリクトを解決しました。再レビューお願いします。,コンフリクトを解決しました。再レビューお願いします。,コンフリクトを解決しました再レビューお願いします,コンフリクトヲカイケツシマシタサイレビューオネガイシマス,コンフリクトヲカイケツシマシタサイレビューオネガイシマス,0,0,OK
1,44,差分は小さく、20行だけです。,差分は小さく、20行だけです。,サブンは小さく、20行だけです。,サブンハチイサクギョウダケデス,サブンハチイサクギョウダケデス,0,0,OK
1,52,このリリースをv2.0.0としてタグ付けしてください。,このリリースをバージョン2.0.0としてタグ付けしてください。,このリリースをバージョン2.0.0としてタグ付けしてください,コノリリースヲバージョントシテタグツケシテクダサイ,コノリリースヲバージョントシテタグツケシテクダサイ,0,0,OK
1,55,リリース前にchangelogを更新してください。,リリース前にチェンジログを更新してください。,リリース前にチェンジログを更新してください,リリースマエニチェンジログヲコウシンシテクダサイ,リリースマエニチェンジログヲコウシンシテクダサイ,0,0,OK
1,62,型エラーのためビルドが失敗しました。,かたエラーのためビルドが失敗しました。,カタエラーのためビルドが失敗しました,カタエラーノタメビルドガシッパイシマシタ,カタエラーノタメビルドガシッパイシマシタ,0,0,OK
1,65,午前中ずっとこれをデバッグしていました。,午前中ずっとこれをデバッグしていました。,午前中ずっとこれをデバッグしていました,ゴゼンチュウズットコレヲデバッグシテイマシタ,ゴゼンチュウズットコレヲデバッグシテイマシタ,0,0,OK
1,66,明日新機能を実装します。,明日新機能を実装します。,明日新機能を実装します,アスシンキノウヲジッソウシマス,アスシンキノウヲジッソウシマス,0,0,OK
1,89,保存前に入力を検証してください。,保存前に入力を検証してください。,保存前に入力を検証してください,ホゾンマエニニュウリョクヲケンショウシテクダサイ,ホゾンマエニニュウリョクヲケンショウシテクダサイ,0,0,OK
1,94,この変更は既存の機能を壊すかもしれません。,この変更は、きそんの機能を壊すかもしれません。,この変更は既存の機能を壊すかもしれません,コノヘンコウハキソンノキノウヲコワスカモシレマセン,コノヘンコウハキソンノキノウヲコワスカモシレマセン,0,0,OK
1,97,デプロイが失敗しました。今ログを確認中です。,デプロイが失敗しました。今ログを確認中です。,デプロイが失敗しました イマログを確認中です,デプロイガシッパイシマシタイマログヲカクニンチュウデス,デプロイガシッパイシマシタイマログヲカクニンチュウデス,0,0,OK
1,111,恒久的な解決策が必要です。,恒久的な解決策が必要です。,高級的な解決策が必要です,コウキュウテキナカイケツサクガヒツヨウデス,コウキュウテキナカイケツサクガヒツヨウデス,0,0,OK
1,115,バグを再現できますか？,バグを再現できますか？,バグを再現できますか。,バグヲサイゲンデキマスカ,バグヲサイゲンデキマスカ,0,0,OK
1,119,今日この問題を調査します。,今日この問題を調査します。,強固の問題を調査します,キョウコノモンダイヲチョウサシマス,キョウコノモンダイヲチョウサシマス,0,0,OK
1,121,コードはクリーンで読みやすく見えます。,コードはクリーンで読みやすく見えます。,コードはクリーンで読みやすく見えます,コードハクリーンデヨミヤスクミエマス,コードハクリーンデヨミヤスクミエマス,0,0,OK
1,125,この変数をより説明的にリネームしてください。,この変数をより説明的にリネームしてください。,この変数をより説明的にリネームしてください。,コノヘンスウヲヨリセツメイテキニリネームシテクダサイ,コノヘンスウヲヨリセツメイテキニリネームシテクダサイ,0,0,OK
1,131,レスポンスはJSONオブジェクトです。,レスポンスはジェイソンオブジェクトです。,レスポンスはJSONオブジェクトです,レスポンスハジェイソンオブジェクトデス,レスポンスハオブジェクトデス,5,5,LIKELY_ELISION
1,132,まず値がnullかどうか確認してください。,まず値がナルかどうか確認してください。,まず値がなるかどうか確認してください,マズアタイガナルカドウカカクニンシテクダサイ,マズアタイガナルカドウカカクニンシテクダサイ,0,0,OK
1,136,検証後にsaveメソッドを呼び出してください。,検証後にセーブメソッドを呼び出してください。,検証後にセーブメソッドを呼び出してください,ケンショウゴニセーブメソッドヲヨビダシテクダサイ,ケンショウゴニセーブメソッドヲヨビダシテクダサイ,0,0,OK
1,139,この関数は何を返しますか？,この関数は何を返しますか？,この関数は何を返しますか。,コノカンスウハナンヲカエシマスカ,コノカンスウハナンヲカエシマスカ,0,0,OK
1,142,続行する前にAPIレスポンスをawaitしてください。,続行する前にエーピーアイレスポンスをアウェイトしてください。,続行する前にAPIレスポンスをアウエーとしてください,ゾッコウスルマエニエーピーアイレスポンスヲアウェイトシテクダサイ,ゾッコウスルマエニレスポンスヲアウエートシテクダサイ,8,6,LIKELY_ELISION
1,143,この関数はpromiseを返します。,この関数はプロミスを返します。,この関数は、プロミスを返します。,コノカンスウハプロミスヲカエシマス,コノカンスウハプロミスヲカエシマス,0,0,OK
1,146,両方のケースを処理するためにif/elseを使ってください。,両方のケースを処理するためにイフ/エルスを使ってください。,両方のケースを処理するためにフエルスを使ってください,リョウホウノケースヲショリスルタメニイフエルスヲツカッテクダサイ,リョウホウノケースヲショリスルタメニフエルスヲツカッテクダサイ,1,1,MISMATCH
1,147,ファイルの上部でReactをインポートしてください。,ファイルの上部でリアクトをインポートしてください。,ファイルの上部でリアクトをインポートしてください。,ファイルノジョウブデリアクトヲインポートシテクダサイ,ファイルノジョウブデリアクトヲインポートシテクダサイ,0,0,OK
2,5,これを小さなタスクに分割してください。,これを小さなタスクに分割してください。,これを小さなタスクに分割してください,コレヲチイサナタスクニブンカツシテクダサイ,コレヲチイサナタスクニブンカツシテクダサイ,0,0,OK
2,12,デザイン仕様を待ってブロックされています。,デザイン仕様を待ってブロックされています。,デザイン仕様を待ってブロックされています,デザインシヨウヲマッテブロックサレテイマス,デザインシヨウヲマッテブロックサレテイマス,0,0,OK
2,14,このタスクはAPI作業に依存関係があります。,このタスクはエーピーアイ作業に依存関係があります。,このタスクは API 作業に依存関係があります,コノタスクハエーピーアイサギョウニイゾンカンケイガアリマス,コノタスクハサギョウニイゾンカンケイガアリマス,6,6,LIKELY_ELISION
2,26,要件はまだ不明確です。,要件は、まだ不明確です。,要件はまだ不明確です,ヨウケンハマダフメイカクデス,ヨウケンハマダフメイカクデス,0,0,OK
2,29,このプロジェクトのタイムラインは何ですか？,このプロジェクトのタイムラインは何ですか？,このプロジェクトのタイムラインは何ですか,コノプロジェクトノタイムラインハナンデスカ,コノプロジェクトノタイムラインハナンデスカ,0,0,OK
2,37,これについて簡単に同期しましょう。,これについて簡単に同期しましょう。,これについて簡単に同期しましょう,コレニツイテカンタンニドウキシマショウ,コレニツイテカンタンニドウキシマショウ,0,0,OK
2,40,今朝のスタンドアップで言及しました。,今朝のスタンドアップで言及しました。,ケサのスタンドアップで研究しました,ケサノスタンドアップデゲンキュウシマシタ,ケサノスタンドアップデケンキュウシマシタ,1,0,MISMATCH
2,42,今日は連続した会議があります。,今日は連続した会議があります。,今日は連続した会議があります,キョウハレンゾクシタカイギガアリマス,キョウハレンゾクシタカイギガアリマス,0,0,OK
2,44,私のアクションアイテムはドキュメントを更新することです。,私のアクションアイテムはドキュメントを更新することです。,私 の アクション アイテム は キュメント を 更新 する こと です,ワタクシノアクションアイテムハドキュメントヲコウシンスルコトデス,ワタクシノアクションアイテムハキュメントヲコウシンスルコトデス,1,1,MISMATCH
2,49,プロジェクトはリリースに向けて順調です。,プロジェクトはリリースに向けて順調です。,プロジェクトはリースに向けて順調です,プロジェクトハリリースニムケテジュンチョウデス,プロジェクトハリースニムケテジュンチョウデス,1,1,MISMATCH
2,51,APIはユーザーデータをJSONで返します。,エーピーアイはユーザーデータをジェイソンで返します。,APIはウザーデータをJSONで返します,エーピーアイハユーザーデータヲジェイソンデカエシマス,ハウザーデータヲデカエシマス,13,12,LIKELY_ELISION
2,52,リストを取得するために/usersエンドポイントを呼び出してください。,リストを取得するために/ユーザーズエンドポイントを呼び出してください。,リストを取得するためにユーザーズ エンドポイントを呼び出してください,リストヲシュトクスルタメニユーザーズエンドポイントヲヨビダシテクダサイ,リストヲシュトクスルタメニユーザーズエンドポイントヲヨビダシテクダサイ,0,0,OK
2,57,完全な更新にはPUTを使用してください。,完全な更新にはプットを使用してください。,完全な更新にはプットを使用してください,カンゼンナコウシンニハプットヲシヨウシテクダサイ,カンゼンナコウシンニハプットヲシヨウシテクダサイ,0,0,OK
2,60,認証トークンをヘッダーに追加してください。,認証トークンをヘッダーに追加してください。,認証トークンをヘッダーに追加してください,ニンショウトークンヲヘッダーニツイカシテクダサイ,ニンショウトークンヲヘッダーニツイカシテクダサイ,0,0,OK
2,68,バリデーションエラーには400を返してください。,バリデーションエラーには400を返してください。,バリデーションエラーには客を返してください,バリデーションエラーニハヲカエシテクダサイ,バリデーションエラーニハキャクヲカエシテクダサイ,3,-3,MISMATCH
2,74,指数バックオフでリクエストをリトライしてください。,指数バックオフでリクエストをリトライしてください。,指数バックオフでリクエストをリトライしてください,シスウバックオフデリクエストヲリトライシテクダサイ,シスウバックオフデリクエストヲリトライシテクダサイ,0,0,OK
2,75,APIのレート制限に達しました。,エーピーアイのレート制限に達しました。,APIのレート制限に達しました,エーピーアイノレートセイゲンニタッシマシタ,ノレートセイゲンニタッシマシタ,6,6,LIKELY_ELISION
2,79,支払いイベント用にwebhookを設定してください。,支払いイベント用にウェブフックを設定してください。,支払いイベント用にウェブフックを設定してください,シハライイベントヨウニウェブフックヲセッテイシテクダサイ,シハライイベントヨウニウェブフックヲセッテイシテクダサイ,0,0,OK
2,80,設定でコールバックURLを設定してください。,設定でコールバックユーアールエルを設定してください。,設定でコールバックURLを設定してください。,セッテイデコールバックユーアールエルヲセッテイシテクダサイ,セッテイデコールバックヲセッテイシテクダサイ,7,7,LIKELY_ELISION
2,85,ソーシャルログイン用にOAuthを実装してください。,ソーシャルログイン用にオーオースを実装してください。,ソーシャルログイン用にOSを実装してください。,ソーシャルログインヨウニオオオースヲジッソウシテクダサイ,ソーシャルログインヨウニヲジッソウシテクダサイ,5,5,LIKELY_ELISION
