tier,row,old_guid,new_guid,old_sentence,new_sentence
1,4,ba)1ozSL6;,J!Qd&wGN!=,プロジェクトの更新をもらえますか？,チケットのステータスを更新してもらえますか？
1,16,GM8<I{y9df,mIY2zbF5N+,もちろんそれを手伝えます。,もちろん、手伝いますよ。
1,33,GOO[Oj}ca],g({UmDIH9,始める前に最新の変更をプルしてください。,始める前に最新の変更をプルした方がいいです。
1,35,y9(vd.6(?=,s2bb)$ytzQ,この機能用に新しいブランチを作成してください。,この機能用に新しいブランチを作成してもらえますか？
1,38,yKD7pHqbfm,y]^D219Cy=,1つの小さな変更後に承認します。,1点だけ直してもらえれば承認します。
1,42,yK|U%jPDy3,C|k&T}HxKf,テストするためにフィーチャーブランチをチェックアウトしてください。,テストするためにフィーチャーブランチをチェックアウトしてもらえますか？
1,50,NC00cw100g,"P<n8@(6H,)",その修正をリリースブランチにチェリーピックしてください。,その修正をリリースブランチにチェリーピックしてもらえますか？
1,51,"j,xLB?:5,,",m*c:s#6*`{,マージ前にコミットをスカッシュしてください。,マージ前にコミットのスカッシュをお願いします。
1,52,Ah+%@;1y2p,z-!/-K3gUG,このリリースをv2.0.0としてタグ付けしてください。,このリリースをv2.0.0としてタグ付けしてもらえますか？
1,55,PXBn-Nk33e,"yfnwl],zdW",リリース前にchangelogを更新してください。,リリース前にchangelogを更新しておいてください。
1,56,oFW}86%O8I,kWTN.WGfsS,誰がこれを書いたか見るためにgit blameを使ってください。,誰がこれを書いたか見るにはgit blameが便利です。
1,57,w2nkNFtMs8,pl#<;`W4Aj,最近の変更についてgit logを確認してください。,最近の変更についてgit logを確認してもらえますか？
1,58,I<@2}]H:Vl,jH0nAZ)ai_,コミット履歴を見てください。,コミット履歴を見てみてください。
1,60,umww6;`nc,`dGPpF!QM,提出前にupstreamと同期してください。,提出前にupstreamと同期した方がいいです。
1,63,H4D0KUN<*$,EtnyzK~|-^,プッシュ前にテストを実行してください。,プッシュ前にテストを実行しておいてください。
1,69,"do:0Zk,a7w",x`cnwopOZY,これ用に新しいコンポーネントを作成してください。,これ用に新しいコンポーネントを作成しましょう。
1,70,N1*({H@SuV,g9!6^]HoNi,使われていないインポートを削除してください。,使われていないインポートを削除してもらえますか？
1,71,BUo}MTZU$*,E/;##PU0@-,ここにエラーハンドリングを追加してください。,ここにエラーハンドリングの追加をお願いします。
1,72,l+CQ@(8p*e,In<BiEeXoI,console.log文を取り除いてください。,console.log文を取り除いてもらえますか？
1,73,C-R)=)KKw:,f<]nkM9kA,エンドポイントをPOSTを使うように変更してください。,エンドポイントをPOSTを使うように変更してもらえますか？
1,74,pn>%]PlB=&,LvAbb+neO|,キャッシュを有効にするため設定を修正してください。,キャッシュを有効にするため設定を修正してもらえますか？
1,75,kR^&Sjrqv;,"xRJOM,[4+*",依存関係を最新に更新してください。,依存関係を最新に更新した方がいいです。
1,78,Okrx]wNfjg,"Pa[x*P,Mst",他のファイルが使えるようにこの関数をエクスポートしてください。,他のファイルが使えるようにこの関数をエクスポートしてもらえますか？
1,82,Csx]~gk1-~,JnF8JU^:b!,タイムアウトを30秒に設定してください。,タイムアウトを30秒に設定してもらえますか？
1,87,A:$nTKua*q,l@W=wm;o^@,エラーを適切にハンドルしてください。,エラーを適切にハンドルすべきです。
1,89,D%vf`~7lK(,I?sr&KdQ+B,保存前に入力を検証してください。,保存前に入力を検証すべきです。
1,90,c(f?QDW}VV,f98K4r7[:~,日付をYYYY-MM-DD形式にフォーマットしてください。,日付をYYYY-MM-DD形式にフォーマットしてもらえますか？
1,100,QWS3f`x>r,fe{Pop7XB{,あなたのマシンでこれは動きますか？,そちらのマシンでは動きますか？
1,122,KzuocJ<-kp,yVBJypxIZ#,このコンポーネント用に新しいファイルを作成してください。,このコンポーネント用に新しいファイルを作成してもらえますか？
1,123,M-6i:|$r0M,xv`<-[/!p+,componentsフォルダに入れてください。,componentsフォルダに入れてもらえますか？
1,125,P@)gz?25d2,Naf5(G-@]O,この変数をより説明的にリネームしてください。,この変数をより説明的にリネームしてもらえますか？
1,126,qoSR]WeGYG,B*2?RGRXV%,これを上部で定数として定義してください。,これを上部で定数として定義した方がいいです。
1,132,zNqTw!Q##t,h0QU)bW.+.,まず値がnullかどうか確認してください。,まず値がnullかどうか確認した方がいいです。
1,135,Ma{R_PS2:<,j)a#>H<b<N,サービス用に新しいクラスを作成してください。,サービス用に新しいクラスを作成しましょう。
1,137,zaG4&Q{15:,yP?F`lVW|T,limit用にオプションのパラメータを追加してください。,limit用にオプションのパラメータを追加してもらえますか？
1,141,E23ujIC+1i,HpHCjyeJ}r,この関数をasyncにしてください。,この関数をasyncにしてもらえますか？
1,145,iNXE:q:HY<,hkjl(*y>WD,ユーザー権限を確認する条件を追加してください。,ユーザー権限を確認する条件を追加してもらえますか？
1,150,N8yV7g-GOO,tE+@_dQIT7,lodashパッケージをインストールしてください。,lodashパッケージをインストールしてもらえますか？
2,3,lT9!)$Jw2i,ug<&R8.U(o,これを次のスプリントのバックログに追加してください。,これを次のスプリントのバックログに追加してもらえますか？
2,4,I{-uw`IYLi,BAj`lm<EF$,このバグのチケットを作成してください。,このバグのチケットを作成してもらえますか？
2,5,zQXMA_v~bk,H8jR9_G!5T,これを小さなタスクに分割してください。,これを小さなタスクに分割した方がいいです。
2,25,CEJk~V[F}<,"P6,[&.hxRO",ステークホルダーから承認を得てください。,ステークホルダーから承認を得る必要があります。
2,46,JFTRA$!*Qm,M(~dTnEe$R,チケットを適切な人に割り当ててください。,チケットを適切な人に割り当ててもらえますか？
2,48,"Ouq!,Q6?bZ",NjrFN$o[1t,これまでのところ機能は良い進捗です。,今のところ機能の進捗は順調です。
2,54,n4P.>113bC,J$K8&DX57g,エラーについてレスポンスボディを確認してください。,エラーについてレスポンスボディを確認してもらえますか？
2,60,g0%)XW*E4E,N_W>l9Dk$#,認証トークンをヘッダーに追加してください。,認証トークンをヘッダーに追加してもらえますか？
2,67,ivsCrxMTm?,p>1+FwMDsT,リソースが作成されたら201を返してください。,リソースが作成されたら201を返すべきです。
2,74,Fz/0zj8{B@,iM]1xBd}fa,指数バックオフでリクエストをリトライしてください。,指数バックオフでリクエストをリトライした方がいいです。
2,79,jMZ>5m+zQz,GI%3r&.i`<,支払いイベント用にwebhookを設定してください。,支払いイベント用にwebhookを設定してもらえますか？
2,88,"s_}27V,5d/",kS.?|bF]bm,認証情報を定期的にローテーションしてください。,認証情報を定期的にローテーションしましょう。
2,93,vnS_-at^X:,l<;F0(D8K<,フロントエンドのオリジンを許可リストに追加してください。,フロントエンドのオリジンを許可リストに追加してもらえますか？
2,96,Bg/(]IZeG8,FdT&^/])Zg,十分な帯域幅があるか確認してください。,十分な帯域幅があるか確認してもらえますか？
2,98,c~kDJ0)N[2,M~|4(f?v-%,このIPアドレスをホワイトリストに追加してください。,このIPアドレスをホワイトリストに追加してもらえますか？
2,102,gVkEL3>WR^,weE`5:3)Wb,本番DBに慎重に接続してください。,本番DBへの接続は慎重にお願いします。
2,104,EbRnG/pz3?,Ql.-.@OuSy,注文用に新しいテーブルを作成してください。,注文用に新しいテーブルを作成してもらえますか？
2,105,y(5(zI$dH),tBwRF^P.n*,タイムスタンプ用に新しいカラムを追加してください。,タイムスタンプ用に新しいカラムを追加してもらえますか？
2,109,M%U0cDyj=?,hhsGzff;lM,データベーススキーマを更新してください。,データベーススキーマを更新してもらえますか？
2,110,P~Bd66=LXZ,M%9}jSvAr(,デプロイ前にマイグレーションを実行してください。,デプロイ前にマイグレーションを実行しておいてください。
2,113,pgKr1_V46C,GD&~+P4`Hx,クエリを高速化するためにインデックスを追加してください。,クエリを高速化するためにインデックスを追加しましょう。
2,116,"F,hqFnzupm",z0g@{UzLFj,ユーザーと注文の関係を定義してください。,ユーザーと注文の関係を定義してもらえますか？
2,130,g<)H^4<O|/,v5DC(q(rob,これをトランザクションでラップしてください。,これをトランザクションでラップした方がいいです。
2,135,b;46os;=tH,s>p;J0m>vt,コネクションプールのサイズを増やしてください。,コネクションプールのサイズを増やしてもらえますか？
2,136,Oc_y+023N_,lQCr2*Bl=*,レポートにはレプリカから読み取ってください。,レポートにはレプリカから読み取った方がいいです。
2,139,ABOv[jtKL2,QQ6kLQg%Xa,マイグレーション前にバックアップを取ってください。,マイグレーション前にバックアップを取っておいてください。
2,141,F3Jg~r~pv#,"r3hLy^!,d4",複雑なクエリには生のSQLを書いてください。,複雑なクエリには生のSQLを書いた方がいいです。
2,142,6)yQb*4jX,lAWkja-$lo,柔軟なスキーマにはNoSQLを使用してください。,柔軟なスキーマにはNoSQLを使用しましょう。
2,144,O<7tV!ZMGv,o`1)UXU$WF,Userモデルを定義してください。,Userモデルを定義してもらえますか？
2,147,"sqQhw7,@!H","p,EwU%jOlw",重複を避けるためにデータを正規化してください。,重複を避けるためにデータを正規化すべきです。
2,150,IUu_YbiMox,Ona>/{Q6^k,テーブルを日付でパーティションしてください。,テーブルを日付でパーティションしてもらえますか？
2,151,`^/V0Y!g>,Kh$BD;F1Vd,この関数のテストを書いてください。,この関数のテストを書いてもらえますか？
2,152,wB|Gvji|b},i7l9?]m(eO,サービス層のユニットテストを追加してください。,サービス層のユニットテストを追加してもらえますか？
