Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
すみません。この物は今の日に外に出してもいいですか。,Excuse me. Can I put this out today?,すみません,すみません。この物【もの】は今【いま】の日【にち】に外【そと】に出【だ】してもいいですか。,The Neighbor,polite,excuse me,"<span class=""vocab"">すみません</span>",すみません。このゴミは今日出してもいいですか。
いいえ。今の日は違います。,No. Today is not the right day.,今の日,いいえ。今【いま】の日【にち】は違【ちが】います。,The Neighbor,polite,today,"<ruby class=""vocab"">今の日<rt>いまのにち</rt></ruby>",いいえ。今日は違います。
そうですか。いつが良いですか。,I see. When is good?,良い,そうですか。いつが良【よ】いですか。,The Neighbor,polite,good,"<ruby class=""vocab"">良い<rt><span class=""pitch-h"">よ</span><span class=""pitch-l"">い</span></rt></ruby>",
この物は月の日とお金の日に出します。,This goes out on Monday and Friday.,月の日,この物【もの】は月【つき】の日【にち】とお金【かね】の日【にち】に出【だ】します。,The Neighbor,polite,Monday,"<ruby class=""vocab"">月の日<rt>つきのにち</rt></ruby>",これは月曜日と金曜日に出します。
書く物はいつですか。,When is paper?,書く物,書【か】く物【もの】はいつですか。,The Neighbor,polite,paper,"<ruby class=""vocab"">書く物<rt>かくもの</rt></ruby>",紙はいつですか。
書く物は水の日です。日の中の前に出してください。,Paper is on Wednesday. Please put it out in the morning.,ください,書【か】く物【もの】は水【みず】の日【にち】です。日【にち】の中【なか】の前【まえ】に出【だ】してください。,The Neighbor,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",紙は水曜日です。朝に出してください。
分からない事があったら、聞いてください。,"If you don't understand something, please ask.",ください,分【わ】からない事【こと】があったら、聞【き】いてください。,The Neighbor,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",分からないことがあったら、聞いてください。
毎日する事,"daily life, living",毎日する事,毎【まい】日【にち】する事【こと】,Daily Life & Routines,,"daily life, living","<ruby class=""vocab"">毎日する事<rt>まいにちすること</rt></ruby>",生活
外にいる人と言葉を使う物,"telephone, phone call",外にいる人と言葉を使う物,外【そと】にいる人【ひと】と言葉【ことば】を使【つか】う物【もの】,Daily Life & Routines,,"telephone, phone call","<ruby class=""vocab"">外にいる人と言葉を使う物<rt>そとにいるひととことばをつかうもの</rt></ruby>",電話
見た物を書いた物,"photograph, photo",見た物を書いた物,見【み】た物【もの】を書【か】いた物【もの】,Daily Life & Routines,,"photograph, photo","<ruby class=""vocab"">見た物を書いた物<rt>みたものをかいたもの</rt></ruby>",写真
