Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
API之応答遅い,The API's response is slow,之,APIの応答【おうとう】遅【おそ】い,Grammar - Possessive/Object,wenyan,of / it (object marker),"<ruby class=""vocab"">之<rt>の</rt></ruby>"
エラーの原因を査す,Investigate the cause of the error,之,エラーの原因【げんいん】を査【さ】す,Grammar - Possessive/Object,wenyan,of / it (object marker),"<ruby class=""vocab"">之<rt>の</rt></ruby>"
"コンフィグ削, 之を用いる勿れ",Delete config - do not use it,之,"コンフィグ削【さく】, 之【これ】を用【もち】いる勿【なか】れ",Grammar - Possessive/Object,wenyan,of / it (object marker),"<ruby class=""vocab"">之<rt>の</rt></ruby>"
呼出者に権限無し,The caller has no permissions,者,呼出【よびだし】者【もの】に権限【けんげん】無【な】し,Grammar - Nominalizer,wenyan,the one who / -er,"<ruby class=""vocab"">者<rt>もの</rt></ruby>"
作成者不明. ギットブレーム査す,Creator unknown. Check git blame,者,作成【さくせい】者【しゃ】不明【ふめい】. ギットブレーム査【さ】す,Grammar - Nominalizer,wenyan,the one who / -er,"<ruby class=""vocab"">者<rt>もの</rt></ruby>"
此はバグ也. 仕様に非ず,This is a bug - not a feature,也,此【これ】はバグ也【なり】. 仕様【しよう】に非【あら】ず,Grammar - Copula,wenyan,is (declarative),"<ruby class=""vocab"">也<rt>なり</rt></ruby>"
原因はレースコンディション也,The cause is a race condition,也,原因【げんいん】はレースコンディション也【なり】,Grammar - Copula,wenyan,is (declarative),"<ruby class=""vocab"">也<rt>なり</rt></ruby>"
空なら則ナル返す,If empty then return null,則,空【くう】なら則【すなわち】ナル返【かえ】す,Grammar - Conditional,wenyan,then (conditional),"<ruby class=""vocab"">則<rt>すなわち</rt></ruby>"
オース通過則API呼可,If auth passes then API call is possible,則,オース通過【つうか】則【すなわち】API呼【よ】び可【か】,Grammar - Conditional,wenyan,then (conditional),"<ruby class=""vocab"">則<rt>すなわち</rt></ruby>"
若エンブ無ならデフォルト用いる,If env is missing then use default,若,若【もし】エンブ無【な】ければデフォルト用【もち】いる,Grammar - Conditional If,wenyan,if,"<ruby class=""vocab"">若<rt>もし</rt></ruby>"
